Sensor Time on 07 Jun 2021,Motor Time on 07 Jun 2021,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
13:28:55,13:28:05,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:28:55,13:28:15,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:28:55,13:28:17,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:28:55,13:28:22,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13:28:55,13:28:24,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
13:28:55,13:28:39,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13:28:55,13:28:49,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13:28:55,13:28:51,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13:28:55,13:28:56,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:23,13:28:56,62,69.8,62,73.4,57,69.8,57,69.8,55,75.2,57,69.8,59,69.8,62,69.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:23,13:29:01,62,69.8,62,73.4,57,69.8,57,69.8,55,75.2,57,69.8,59,69.8,62,69.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:29:23,13:29:03,62,69.8,62,73.4,57,69.8,57,69.8,55,75.2,57,69.8,59,69.8,62,69.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
